symbol,side,strategy_id,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,reason,bars_held,breakeven_activated,confidence,flip_level,flip_breached_bar,flip_breached_before_exit,flip_timing,would_pass_production,production_min_confidence,run,closed,won,meta_ema_50,meta_ema_200,meta_macd,meta_macd_signal,meta_macd_hist,meta_macd_hist_prev,meta_rsi,meta_atr,meta_trend_strength,meta_cross_strength,meta_rsi_room,meta_flip_level,meta_bb_width,meta_bb_width_percentile,meta_resistance_level,meta_support_level,meta_breakout_level,meta_volume,meta_volume_ma_20,meta_volume_ratio,meta_squeeze_intensity,meta_volume_strength,meta_macd_strength,meta_suggested_take_profit,meta_suggested_stop_loss
BTC/USDT,short,trend_momentum,2025-02-16 16:00:00,2025-02-18 16:00:00,96911.01,93642.307103,0.1686,3.3729,take_profit,12,True,0.597369,97270.629897,24.0,False,after_exit,True,0.45,A2,True,True,97270.6298971072,98699.1227005352,132.81752487141057,159.30420203730253,-26.48667716589196,15.466980487758434,47.34254579496914,836.9507800219809,0.2894641338935135,0.6265848998394589,0.12237576324948568,97270.6298971072,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-03-04 00:00:00,2025-03-05 08:00:00,86221.16,89814.26,-0.2084,-4.1673,flip_level,8,False,0.861898,88884.433336,8.0,True,before_exit,True,0.45,A2,True,False,88884.43333575364,93986.94462115788,640.9409004813933,641.5450680085485,-0.6041675271551412,306.6856040242459,44.759335624365285,2483.958506405384,1.0,1.0,0.07932226040608809,88884.43333575364,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-03-07 04:00:00,2025-03-07 08:00:00,86991.26,88966.96,-0.1136,-2.2711,flip_level,1,False,0.845908,88664.741312,1.0,True,before_exit,True,0.45,A2,True,False,88664.74131181616,92980.24413664422,555.783919913607,649.4177807455013,-93.63386083189437,149.85051112728206,45.53683674709287,2704.5251815452343,0.9282623131180369,1.0,0.09228061245154784,88664.74131181616,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-03-16 12:00:00,2025-03-16 16:00:00,82410.01,84783.540558,-0.144,-2.8801,stop_loss,1,False,0.859069,83869.080628,7.0,False,after_exit,True,0.45,A2,True,False,83869.08062814447,88895.23884648977,244.84687634609872,246.80913078138096,-1.962254435282233,149.7852622164157,43.627451253600796,1192.751069712926,1.0,1.0,0.0604575208933466,83869.08062814447,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-03-18 04:00:00,2025-03-19 08:00:00,83147.6,83881.4,-0.0441,-0.8825,flip_level,7,False,0.748365,83753.760509,7.0,True,before_exit,True,0.45,A2,True,False,83753.76050918901,88381.73643427793,104.38604096062772,123.09072905028121,-18.704688089653487,32.29260912194371,47.62313817652725,1232.4686429071137,1.0,0.5172271268835911,0.1270523029421208,83753.76050918901,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-03-21 04:00:00,2025-03-21 08:00:00,84451.97,84046.52,0.024,0.4801,flip_level,1,False,0.681646,84036.783794,1.0,True,before_exit,True,0.45,A2,True,True,84036.78379395904,87688.43356321445,377.47927526001877,404.7138777663623,-27.23460250634355,9.73245819777219,51.89417188467777,1232.98278943931,0.832869198563786,0.374772675465793,0.1982361980779628,84036.78379395904,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-03-26 04:00:00,2025-03-26 08:00:00,87153.5,87954.96,-0.046,-0.9196,flip_level,1,False,0.672581,85514.821215,1.0,True,before_exit,True,0.45,A2,True,False,85514.82121508835,87195.84162404238,792.974517700859,797.1954412212616,-4.220923520402607,53.04292891382761,57.32824436159014,978.5763176453187,0.385573526820694,0.7314689130738968,0.28880407269316893,85514.82121508835,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-03-26 16:00:00,2025-03-26 20:00:00,86752.52,86909.17,-0.009,-0.1806,flip_level,1,False,0.712666,85750.345954,1.0,True,before_exit,True,0.45,A2,True,False,85750.34595407447,87208.12169426952,702.348975596964,783.0747115500542,-80.72573595309018,8.418019861767561,51.63429410303932,998.6686770651472,0.3343210957588695,1.0,0.19390490171732205,85750.34595407447,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-04-03 08:00:00,2025-04-06 20:00:00,83456.76,77669.905456,0.3467,6.934,take_profit,21,True,0.637996,84324.680697,,False,never,True,0.45,A2,True,True,84324.68069749691,86101.96689423635,94.41813904790615,113.534962219292,-19.116823171385846,61.685829542659576,46.62351546055369,1500.9816080987405,0.4128328912445351,0.6729150800221689,0.11039192434256151,84324.68069749691,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-04-13 20:00:00,2025-04-14 00:00:00,83981.32,84566.03,-0.0348,-0.6962,flip_level,1,False,0.65627,82232.653279,1.0,True,before_exit,True,0.45,A2,True,False,82232.65327881231,83972.27822631662,1081.8234423410904,1099.1781087662434,-17.354666425153027,59.89262169681865,56.41299917510072,1493.2973475219799,0.41433315476228394,0.6466167659957176,0.2735499862516787,82232.65327881231,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-04-20 08:00:00,2025-04-20 12:00:00,84784.01,84344.66,0.0259,0.5182,flip_level,1,False,0.51215,84191.560118,1.0,True,before_exit,True,0.45,A2,True,True,84191.560117966,84191.94122319057,229.37973976247304,244.99596640192655,-15.616226639453515,12.96413698807686,51.67797140854488,671.8712735502106,9.053247116906852e-05,0.5317306445569162,0.1946328568090813,84191.560117966,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-05-16 16:00:00,2025-05-18 20:00:00,104183.32,104183.32,0.0,0.0,breakeven,13,True,0.709923,102333.165807,,False,never,True,0.45,A2,True,False,102333.16580670739,95878.80882375054,248.98035354905005,217.22027290611302,31.760080642937027,-5.605139887560739,57.005556111917926,1139.8898148541668,1.0,0.4097459689040002,0.049907398134701235,102333.16580670739,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-05-19 20:00:00,2025-05-22 00:00:00,105517.64,110963.244093,0.258,5.1608,take_profit,13,True,0.796788,103204.182309,,False,never,True,0.45,A2,True,True,103204.18230886693,97266.66211256039,330.47357163041306,246.33776601722184,84.13580561319122,-1.6547109881300912,57.69061514765565,1403.5303326735554,1.0,0.7640600509671633,0.03848974753907252,103204.18230886693,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-05-26 08:00:00,2025-05-28 12:00:00,110094.62,107479.959581,-0.1187,-2.3749,stop_loss,13,False,0.850816,107488.965061,13.0,True,before_exit,True,0.45,A2,True,False,107488.96506110337,100895.3264518374,240.64830955889192,200.0786109011726,40.56969865771933,-74.62219483154195,59.67340823405322,1360.414841015863,1.0,1.0,0.005443196099113005,107488.96506110337,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-06-01 04:00:00,2025-06-01 08:00:00,104381.03,104082.68,-0.0143,-0.2858,flip_level,1,False,0.70622,106557.775123,1.0,True,before_exit,True,0.45,A2,True,False,106557.77512292331,102654.21535598821,-1034.8065436933248,-1044.0145533584134,9.208009665088639,-30.348873225213083,38.79214059575338,1093.2701540311587,0.7605259566590974,0.4522770829383486,0.3534643234041103,106557.77512292331,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-06-06 20:00:00,2025-06-07 00:00:00,104219.8,104871.58,0.0313,0.6254,flip_level,1,False,0.585961,105015.908721,1.0,True,before_exit,True,0.45,A2,True,True,105015.90872099719,103224.7597061598,-421.2378837992437,-465.45662495260956,44.21874115336584,-2.476832260291701,48.782368691717636,1204.4156436435946,0.34703864071683577,0.48462893250450306,0.18696052180470607,105015.90872099719,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-06-15 08:00:00,2025-06-15 12:00:00,105428.0,105564.0,0.0064,0.129,flip_level,1,False,0.59576,106259.026156,1.0,True,before_exit,True,0.45,A2,True,True,106259.02615564853,104606.29652645085,-569.1842635973444,-579.7354115316932,10.551147934348819,-30.69323173076964,44.58406294815306,1005.1981263669377,0.3159904678930624,0.5128886856139866,0.25693228419744896,106259.02615564853,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-06-20 08:00:00,2025-06-20 12:00:00,105811.74,104217.99,-0.0753,-1.5062,flip_level,1,False,0.649492,105557.415154,1.0,True,before_exit,True,0.45,A2,True,False,105557.41515443621,104815.7360467044,-295.72561257201596,-382.0140294196599,86.28841684764393,-10.276086507628179,54.35517579074518,1043.7656997106528,0.14152056469866758,1.0,0.09408040348758036,105557.41515443621,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-07-09 00:00:00,2025-07-09 16:00:00,108922.99,111920.264469,0.1376,2.7517,take_profit,4,True,0.554436,108142.149461,,False,never,True,0.45,A2,True,True,108142.14946051328,106447.65328941758,102.90255511179566,92.38056177765999,10.521993334135672,-16.488864611297984,55.30139888977675,746.3431262631564,0.31837172896401594,0.45238672727974216,0.07831001850372085,108142.14946051328,,,,,,,,,,,,,
